NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Sponsor,Collaborators,Study Type,Study Design,Start Date
NCT02048579,Increasing Academic Success in Middle School Students With ADHD,https://clinicaltrials.gov/study/NCT02048579,COMPLETED,"Broadly, the purpose of the proposed study is to test the efficacy of a parent-coordinated, parent-teen-teacher collaborative intervention for middle school students with ADHD and academic impairment (STAND; Supporting Teens' Academic Needs Daily). \[This model was chosen because of its potential ability to promote treatment maintenance and generalizability across school years, because parents will be taught to implement, monitor, and adjust intervention components as needed. Key innovative components in the STAND intervention address previously reported treatment barriers: 1) a parent-delivered academic intervention to promote maintenance and generalization across school years, and to relieve some of the burden of intervention delivery from teachers, 2) motivational interviewing to address parent disengagement from and adolescent resistance to the treatment process, 3) multiple tailored options for home-school communication, including a web-based support system, to facilitate home-school communication, and 4) empowering parents by coaching them to effectively and tactfully involve teachers in the treatment planning and monitoring process in order to increase teachers' willingness to support the child's academic needs. To study the feasibility and preliminary efficacy of the STAND treatment model,\] two cohorts of 42 middle school students with ADHD will be recruited (total N=84) and randomly assigned to participate in STAND or a treatment-as-usual monitoring group. All participants will complete intake, mid-treatment, post-treatment, \[and follow-up\] assessments designed to monitor academic functioning, \[intervention feasibility, compliance, and satisfaction\].

Aim 1: The proposed study will evaluate the efficacy, \[maintenance, and cross-school year generalization\] of a parent-teen-teacher collaborative intervention (Supporting Teens' Academic Needs Daily; STAND) vs. treatment as usual to increase the academic functioning of middle school students with ADHD. Intervention effects on ADHD symptomatology and impairment, grade-point-average (GPA), \[organization, daily planner use\], homework completion, teacher ratings of academic functioning and classroom behavior, and the parent-teen relationship will be examined.

Aim 2: The proposed study will examine the acceptability and feasibility of the STAND program. Parents and teens will report on \[satisfaction, barriers to treatment participation, therapeutic alliance, and treatment credibility\] throughout the intervention and follow-up period. \[Therapists will also complete ratings of parent and adolescent engagement and compliance with treatment procedures\] will be collected from participants in the program. Parent, teen, and teacher compliance with intervention procedures will also be measured in order to assess feasibility. Treatment fidelity measures will also be collected in order to measure clinician adherence to the manualized STAND procedures.

Aim 3: The proposed study will also explore ways to improve home-school communication during the middle school years. To this end, families will be given options regarding the modality of communication with teachers, and parent, teen, and teacher preferences for medium of intervention delivery will be examined (i.e., web-based, email, paper/pencil).",NO,Behavior Therapy + MI Intervention (Supporting Teens' Academic Needs Daily)|Treatment as Usual,BEHAVIORAL: Behavior Therapy + Motivational Interviewing,Florida International University,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: NONE|Primary Purpose: TREATMENT,2012-02
NCT05260502,The Relationship Between Brain Volume and Sensory Integration in Autistic and Attention Deficit Hyperactivity Disorder.,https://clinicaltrials.gov/study/NCT05260502,NOT_YET_RECRUITING,The relationship between brain volume and sensory integration in children and adolescence with attention deficit hyperactivity disorder and autistic spectrum disorder; comparative study,NO,Sensory Integration Dysfunction,,Assiut University,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2022-06-01
NCT00269802,"A Multicenter Study Comparing the Efficacy and Safety of OROS Methylphenidate HCl, Ritalin (Methylphenidate HCl) and Placebo in Children With Attention Deficit Hyperactivity Disorder",https://clinicaltrials.gov/study/NCT00269802,COMPLETED,"The purpose of this study is to evaluate the efficacy and safety of OROSÂ® Methylphenidate HCl as compared with placebo and standard immediate-release RitalinÂ® (taken three time per day) for the treatment of Attention Deficit Hyperactivity Disorder in children. Both OROSÂ® Methylphenidate HCl and RitalinÂ® contain the central nervous system stimulant, methylphenidate HCl.",NO,Attention Deficit Hyperactivity Disorder,DRUG: OROS methylphenidate HCl|DRUG: Ritalin|DRUG: Placebo,"Alza Corporation, DE, USA",,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE|Primary Purpose: TREATMENT,
NCT01615679,Integrated Diagnosis and Treatment of Adults With Attention-deficit/Hyperactivity Disorder,https://clinicaltrials.gov/study/NCT01615679,COMPLETED,"Non-interventional study to gain further information about the therapy progression in routine treatment of adults with attention-deficit/hyperactivity disorder (ADHD). Main focus will be on the improvement of the clinical global impression (CGI) in comparison to the outcome of randomized, controlled studies.",NO,Adult Attention-deficit/Hyperactivity Disorder,,Medice Arzneimittel Pütter GmbH & Co KG,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2012-08
NCT05016102,Exercise Enhances Brain Function in Attention-deficit/Hyperactivity Disorder (ADHD),https://clinicaltrials.gov/study/NCT05016102,COMPLETED,The aim of the study was to investigate the different effects of exercise types on inhibitory control in children with attention-deficit/ hyperactivity disorder.,NO,Exercise|ADHD|Executive Dysfunction,OTHER: Exercise type,National Taiwan Normal University,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,2013-08-23
NCT01426984,A Double Blind Crossover Study on the Effect of MPH on Decision-making Ability of Adults With BPD Compared to Adults With ADHD and Healthy Adults,https://clinicaltrials.gov/study/NCT01426984,UNKNOWN,"The study assesses the effect of Ritalin on working memory,attention,and decision-making measures in adults with BPD and compares it to its effect on healthy adults and adults with BPD (using data form study SHA 01-10), in a double-blind crossover design. The investigators hypothesize that Ritalin will result in better performance in all measures.",NO,Borderline Personality Disorder,DRUG: methylphenidate,Shalvata Mental Health Center,,INTERVENTIONAL,"Allocation: |Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: DIAGNOSTIC",2012-05
NCT04443179,Brain Imaging in Babies Study,https://clinicaltrials.gov/study/NCT04443179,RECRUITING,"The aims of the BIBS Study

The Brain Imaging in Babies study (BIBS) aims to improve understanding of how a baby's brain develops from before birth, up until 3-4 years of age. Working with children from a variety of backgrounds and communities, the investigators use a combination of state-of-the-art diagnostic tools such as MRI scans alongside traditional behavioural assessments to capture the earliest information on infant brain development.

The focus of the BIBS study

MRI scanning is a safe way of producing detailed images using strong magnetic fields and radio waves. It does not use X-ray. Along with learning more about brain development in general, the investigators also try to identify features that may in future help predict whether a child will or will not develop traits of conditions such as Autism Spectrum Disorder (ASD) or Attention Deficit Hyperactivity Disorder (ADHD). Long-term, this may help target useful interventions early on, helping children who are most in need.

Since COVID-19 arrived in the United Kingdom (U.K.) in 2020, the investigators have been given ethical approval to include testing for this infection in the mothers and children participating in the study. This may provide an opportunity to better understand how mother and baby respond to infections. The investigators particularly welcome mothers who have had a positive COVID-19 test during their pregnancy to join the study.",NO,Autism Spectrum Disorder|Attention Deficit Hyperactivity Disorder|Neurodevelopmental Conditions|COVID-19,,King's College London,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2013-04-05
NCT00997984,Tolerability and Efficacy of AM and PM Once Daily Dosing With Extended-release Guanfacine Hydrochloride in Children 6-12 With Attention-Deficit/Hyperactivity Disorder (ADHD) (The ADHD Tempo Study),https://clinicaltrials.gov/study/NCT00997984,COMPLETED,"The primary purpose is to assess the efficacy of once daily dosing with optimized SPD503 (1, 2, 3 and 4mg/day), dosed either in the morning or evening, compared to placebo, in children with ADHD as measured by change from baseline score at endpoint on the ADHD-RS-IV.",YES,Attention-Deficit/Hyperactivity Disorder,DRUG: extended-release guanfacine hydrochloride (SPD503)|DRUG: placebo|DRUG: extended-release guanfacine hydrochloride,Shire,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2009-11-17
NCT00364702,Virtual Reality a Novel Screening and Treatment Aid in Attention Deficit Disorder,https://clinicaltrials.gov/study/NCT00364702,COMPLETED,Using a virtual reality program in screening and treatment of ADHD.,NO,ADHD,DRUG: methylphenidate,Shaare Zedek Medical Center,,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: FACTORIAL|Masking: NONE|Primary Purpose: DIAGNOSTIC,2006-08
NCT02888821,School-Home Program for Mexican Children With Attention and Behavioral Concerns,https://clinicaltrials.gov/study/NCT02888821,COMPLETED,A school-based behavioral intervention for Mexican youth with attention/behavior concerns (the Collaborative Life Skills Program for Latinos/Familias Unidades Empezando Retos y Tareas para el Éxito \[CLS-FUERTE\]:) will be pilot-tested in a mixed-method investigation with four Mexican elementary schools.,NO,ADHD,BEHAVIORAL: CLS-FUERTE,"University of California, San Francisco",,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2016-08
NCT05133284,Effectiveness of a Therapeutic Education Program in Improving Quality of Life of Children With ADHD and Their Parents,https://clinicaltrials.gov/study/NCT05133284,UNKNOWN,"Attention Deficit Hyperactivity Disorder (ADHD) is a neurodevelopmental disorder characterized by attention deficit, impulsivity and hyperactivity. It's one of the most frequently encoutered disorder in child psychiatry. ADHD has a significant impact on the quality of life of children and their parents.

In the child psychiatry department of the MPEA Peyre Plantade, a Therapeutic Education program specific to ADHD has been set up for children and their parents. This program consists of different workshops whose aim is to reduce the ADHD repercussions on the daily life of children and their families and thus improve their quality of life.

The principal aim of our study is to evaluate the effectiveness of this program in improving the quality of life of children with ADHD and their parents.",NO,Attention Deficit Disorder,,"University Hospital, Montpellier",,OBSERVATIONAL,Observational Model: |Time Perspective: p,2021-10-01
NCT03318302,Sleep and Exposure to Screens of Digital Media Devices in Israel,https://clinicaltrials.gov/study/NCT03318302,COMPLETED,"The aims of this survey are to assess the relationships between exposure to screens of digital media devices, sleep patterns, and daily function such as subjective sleepiness and attention abilities in adult Israel population",NO,Sleep Disturbance|Attention Deficit,OTHER: Survey,Assuta Medical Center,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2017-02-01
NCT00178503,Methylphenidate for Attention Deficit Hyperactivity Disorder and Autism in Children,https://clinicaltrials.gov/study/NCT00178503,COMPLETED,This study examined the cognitive and behavioral differences in children who have an autism spectrum disorder (ASD) with or without additional symptoms of ADHD. The study also examined the effectiveness of a range of doses of methylphenidate in improving cognitive and behavioral outcomes in children with both ASD and ADHD.,YES,Autism|Attention Deficit Disorder With Hyperactivity,DRUG: Methylphenidate-extended release|DRUG: Methylphenidate-immediate release|OTHER: Placebo,"The University of Texas Health Science Center, Houston",National Institute of Mental Health (NIMH),INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2005-09
